ID,Stream,Drainage,Repeat,State,Source,Year,Sub.basin,Latitude,Longitude,Elevation,Length,Width,Glacial,Richness,Black.bullhead,Burbot,Bluegill,Bluntnose.minnow,Brassy.minnow,Bigmouth.shiner,Brook.stickleback,Channel.catfish,Creek.chub,Common.shiner,Emerald.shiner,Flathead.chub,Fathead.minnow,Flathead.catfish,Finescale.dace,Freshwater.drum,Goldeye,Golden.shiner,Green.sunfish,Gizzard.shad,Iowa.darter,Johnny.darter,Lake.chub,Largemouth.bass,Longnose.dace,Longnose.sucker,Mountain.sucker,Pearl.dace,Northern.redbelly.dace,Orange.sunfish,Orangethroat.darter,Plains.killifish,Plains.minnow,Plains.topminnow,Quillback,River.carpsucker,Red.shiner,Sauger,Sand.shiner,Sturgeon.chub,Shovelnose.sturgeon,Smallmouth.buffalo,Suckermouth.minnow,Shorthead.redhorse,Stonecat,Central.stoneroller,Topeka.shiner,White.crappie,White.sucker,Western.silvery.minnow,Yellow.bullhead
MTData94,Missouri River at mouth of Marias,MO HW River,MW.HW2,MT,MFWP Data,2014,NA,48,-110,779,NA,NA,Hudson,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
MTData87,Milk River 5,Milk,MILK9,MT,MFWP Data,2006,NA,49,-107,659,NA,NA,Hudson,14,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0
PLATTE5,Elkhorn River,Platte,PLATTE.NE.5,NE,USGS Download,2002,NA,41,-96,344,NA,NA,Mississippi,13,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
MTData208,Powder River 2,Powder,POW.MT.19,MT,MFWP Data,2000,NA,47,-105,682,NA,NA,Hudson,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
MTData207,Powder River 1,Powder,POW.MT.26,MT,MFWP Data,1999,NA,47,-105,678,NA,NA,Hudson,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
MTData84,Milk River 2,Milk,MILK13,MT,MFWP Data,1999,NA,48,-106,625,NA,NA,Hudson,15,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0
MTData88,Milk River 6,Milk,MILK7,MT,MFWP Data,1999,NA,48,-108,678,NA,NA,Hudson,14,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0
MTData288,Marias River 11,Marias,MARIAS17,MT,MFWP Data,1997,NA,48,-111,805,NA,NA,Hudson,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
MTData72,Marias River 2,Marias,MARIAS7,MT,MFWP Data,1997,NA,48,-111,785,NA,NA,Hudson,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
KS68,Smoky Hill River 8,Kansas,KANSAS14,KS,Summerfelt,1967,NA,39,-97,318,NA,NA,0sage,13,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
KS8,Willow Creek,Kansas,KANSAS18,KS,Kansas Fish Sheets,2000,NA,39,-102,1137.1,NA,NA,Osage,11,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
KS7,Willow Creek,Kansas,KANSAS52,KS,Kansas Fish Sheets,1996,NA,39,-102,1137.1,NA,NA,Osage,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
KS10,Willow Creek,Kansas,KANSAS51,KS,Kansas Fish Sheets,1995,NA,39,-102,1135.3,NA,NA,Osage,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
KS9,Willow Creek,Kansas,KANSAS53,KS,Kansas Fish Sheets,1994,NA,39,-102,1137.1,NA,NA,Osage,8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BH212,Gooseberry Creek,Bighorn,GSEBRY2,WY,C. Peterson 2017,2014,Gooseberry,44.00571774,-108.4482736,1521.1,NA,NA,Hudson,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YELLOW1,Yellowstone River at Clarks Fork River,Yellowstone River ,YSTON.55,MT,Duncan et al. 2012,2008,NA,45.669428,-108.694687,986.9,NA,NA,Hudson,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
YELLOW10,Yellowstone River at Powder River,Yellowstone River ,YSTON.53,MT,Duncan et al. 2012,2008,NA,46.744494,-105.435903,684.3,NA,NA,Hudson,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
YELLOW11,Yellowstone River at O'Fallon Creek,Yellowstone River ,YSTON.57,MT,Duncan et al. 2012,2008,NA,46.837587,-105.148945,661,NA,NA,Hudson,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
YELLOW12,Yellowstone River near Intake Dam,Yellowstone River ,YSTON.52,MT,Duncan et al. 2012,2008,NA,47.44976,-104.327287,596,NA,NA,Hudson,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
YELLOW13,Yellowstone River near Sidney,Yellowstone River ,YSTON.59,MT,Duncan et al. 2012,2008,NA,47.685499,-104.123859,582.6,NA,NA,Hudson,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
