Code,Species,Number,Family,Genus.species,Repro.subst,Repro.behav,Wtr.clmn,Thermal,Trophic,Trophic.SE,Trophic.category,Max.TL,Age.mat,Longevity,Max.fecund,Length.spawn,Spawn.period,Flow,Substrate,Stream.size,Shape.factor,Swim.factor,Gape,Dors.H,Dors.L,Anal.H,Anal.L,Head.L,Head.D
BBH,Black bullhead,1,Ictaluridae,Ameirus melas,speleophilic,Open,Benthic,Warm,3.8,0.4,GEN,66,2.5,5.5,5495,2.25,Spring,S,soft,generalist,4.88,0.44,23.9,0.148,0.087,0.13,0.199,0.23,0.12
BBT,Burbot,2,Lotidae,Lota lota,lithopelagophilic,Open,Open,Cold-Cool,3.8,0.2,PISC_INV,152,3,20,1362000,3,Winter,S,gravel,large,7.25,0.67,12.4,0.03,0.07,0.02,0.39,0.21,0.07
BGL,Bluegill,3,Centrarchidae,Lepomis macrochirus,polyphilic,Nester,Benthic,Warm,3.2,0.2,GEN,41,2,10,50000,6,Summer-Fall,S,vegetative,generalist,2.85,0.45,5.2,0.146,0.34,0.153,0.172,0.27,0.18
BLUNT,Bluntnose minnow,4,Cyprinidae,Pimephales notatus,speleophilic,Nester,Benthic,Warm,2.7,0.1,HERB_INV,11,1,3.5,4195,3.25,Summer,SMF,generalist,generalist,5.1,0.44,2.7,0.159,0.125,0.122,0.075,0.21,0.11
BMN,Brassy minnow,5,Cyprinidae,Hybognathus hanksoni,phytophilic,Open,Open,Warm-Cool,3.1,0.4,HERB_INV,9.7,2,3,2500,2,Spring-Summer,SM,generalist,med-small,5.03,0.4833,2.8475,0.18,0.08,0.07,0.07,0.21,0.12
BMS,Bigmouth Shiner,6,Cyprinidae,Notropis dorsalis,phytophilic,Open,Open,Warm,2.9,0.35,HERB_INV,8,1.5,3.5,1275,3,Summer,S,generalist,med-small,6.23,0.44,3.9,0.176,0.096,0.138,0.094,0.22,0.1
BSB,Brook stickleback,7,Gasterosteidae,Culaea inconstans,ariadnophilic,Nester,Benthic,Cool,3.2,0.1,HERB_INV,8.7,1,2.5,250,2.5,Spring,S,generalist,generalist,5.14,0.328,3.9,0.09,0.23,0.1,0.24,0.27,0.13
CCF,Channel catfish,8,Ictaluridae,Ictaluras punctatus,speleophilic,Nester,Benthic,Warm,4.2,0.3,PISC_INV,132,3.5,10,10600,1.5,Spring-Summer,SM,sand-gravel,med-large,5.335,0.320185185,10.95,0.186948276,0.084913793,0.121465517,0.231310345,0.23862069,0.110344828
CKC,Creek chub,9,Cyprinidae,Semotilus atromaculatus,lithophilic,Hider,Benthic,Cool,4,0.5,HERB_INV,30,2,5,7157,1.5,Spring,SM,generalist,med-small,4.84,0.419655172,7.05,0.153333333,0.105823529,0.134529412,0.091421569,0.257156863,0.123627451
CMS,Common shiner,10,Cyprinidae,Luxilus cornutus,lithophilic,Hider,Benthic,Warm-Cool,2.8,0.2,HERB_INV,18,2,6,1950,2,Spring-Summer,SM,generalist,generalist,5.72,0.33,3.8,0.171,0.101,0.13,0.096,0.22,0.12
EMS,Emerald shiner,11,Cyprinidae,Notropis atherinoides,pelagophilic,Open,Open,Warm-Cool,2.8,0.29,HERB_INV,13,1,3,8733,2.5,Summer,SM,sand-gravel,med-large,5.9,0.42,2.1,0.162,0.094,0.137,0.118,0.21,0.11
